"e.g.
          :vim[grep] /foo/ **/*"
:vim[grep] /pattern/ {`{file}`},একাধিক ফাইলে প্যাটার্ন অনুসন্ধান করুন
:cn[ext],পরের মিলটিতে যাও
:cp[revious],আগের মিলটিতে যাও
:cope[n],ম্যাচের তালিকা সম্বলিত একটি উইন্ডো খুলুন
:ccl[ose],কুইকফিক্স উইন্ডোটি বন্ধ করুন
